epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.981,1.56719,1.8596,1.74031,0.78407,0.63536,0.67499,0.3164,1.95007,1.94792,2.18325,0.000652778,0.000652778,0.000652778
2,244.157,1.45364,1.56911,1.60727,0.77509,0.58564,0.65612,0.32264,1.86714,1.88749,2.00478,0.000884028,0.000884028,0.000884028
3,377.458,1.41817,1.51028,1.61357,0.82043,0.62431,0.70846,0.39698,1.71115,1.63892,1.88555,0.000675278,0.000675278,0.000675278
