epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2356.45,1.54327,2.01238,1.47843,0.72058,0.70536,0.73108,0.37174,1.63937,1.69439,1.53548,0.000665897,0.000665897,0.000665897
2,4761.01,1.53785,1.39135,1.48616,0.803,0.76793,0.82541,0.44446,1.5573,1.18397,1.44026,0.000892818,0.000892818,0.000892818
3,6999.85,1.42507,1.14022,1.39926,0.88017,0.87794,0.9197,0.56265,1.34944,0.8693,1.28459,0.000679738,0.000679738,0.000679738
