epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2588.74,1.54327,2.01238,1.47843,0.72058,0.70536,0.73108,0.37174,1.63937,1.69439,1.53548,0.000665897,0.000665897,0.000665897
2,4808.71,1.57401,1.44104,1.51149,0.80317,0.75066,0.80446,0.41894,1.60435,1.25543,1.50899,0.00106872,0.00106872,0.00106872
3,7214.54,1.52079,1.27923,1.46346,0.86928,0.77848,0.84377,0.48606,1.45586,1.08343,1.39341,0.00120754,0.00120754,0.00120754
4,9724.97,1.40648,1.11222,1.3945,0.87757,0.87605,0.90747,0.54134,1.4045,0.87689,1.34258,0.000812,0.000812,0.000812
5,13674,1.32874,0.9605,1.33948,0.91575,0.88752,0.93547,0.59435,1.31834,0.75082,1.27133,0.000416,0.000416,0.000416
